# R=100Âµm, R/L=200, T=300K
# eta, ldim, E, (E-E_exact)/E_exac
1, 200, -1472.8333132944, 0.194209
1.335, 267, -1622.634667513, 0.112252
1.67, 334, -1711.6147599336, 0.0635709
2, 400, -1762.5248479354, 0.0357179
2.335, 467, -1791.9051552063, 0.0196438
2.67, 534, -1808.2452186153, 0.0107041
3, 600, -1817.134636164, 0.00584072
3.335, 667, -1822.0740178284, 0.00313837
3.67, 734, -1824.7430528338, 0.00167813
4, 800, -1826.1616658847, 0.000902004
4.335, 867, -1826.9355101567, 0.000478632
4.67, 934, -1827.3474507974, 0.000253258
5, 1000, -1827.5636982857, 0.000134948
5.335, 1067, -1827.680451791, 7.10721e-05
5.67, 1134, -1827.7420655687, 3.7363e-05
6, 1200, -1827.7741691689, 1.9799e-05
6.335, 1267, -1827.7913920589, 1.03763e-05
6.67, 1334, -1827.8004307747, 5.43123e-06
7, 1400, -1827.8051173571, 2.86719e-06
7.335, 1467, -1827.8076209022, 1.49749e-06
7.67, 1534, -1827.8089297827, 7.814e-07
8, 1600, -1827.8096061199, 4.11374e-07
8.335, 1667, -1827.8099663166, 2.1431e-07
8.67, 1734, -1827.8101541075, 1.11569e-07
9, 1800, -1827.8102509, 5.86134e-08
9.335, 1867, -1827.8103023302, 3.04758e-08
9.67, 1934, -1827.8103290872, 1.5837e-08
10, 2000, -1827.8103428517, 8.30637e-09
