# LbyR, T [K], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, E/E_PFA-1-theta1*L/R
0.1, 0, 250, -4.20070223332, -4.73707004838, 0.886772243269, 0.0560812772199
0.0950492390112, 0, 250, -4.65305807209, -5.21979540915, 0.89142537348, 0.052352321828
0.090343578366, 0, 250, -5.15404896755, -5.75288794905, 0.895906371407, 0.0488662111753
0.0858708837324, 0, 250, -5.70889772037, -6.34166716755, 0.900220331585, 0.0456074952776
0.0816196215198, 0, 250, -6.32338715828, -6.99201780695, 0.904372290356, 0.0425616830659
0.0775788291384, 0, 250, -7.00392010329, -7.71045009494, 0.908367218132, 0.0397151842971
0.0737380867298, 0, 250, -7.75758575458, -8.50416641722, 0.912210012598, 0.0370552548942
0.0700874902981, 0, 250, -8.59223317298, -9.38113510684, 0.915905492792, 0.0345699455365
0.0666176261704, 0, 250, -9.51655262647, -10.3501721107, 0.919458393991, 0.0322480533014
0.0633195467222, 0, 250, -10.5401656373, -11.4210313745, 0.922873363328, 0.0300790761857
0.0601847473048, 0, 250, -11.673724661, -12.6045048771, 0.92615495609, 0.0280531703379
0.057205144314, 0, 250, -12.9290234275, -13.9125333457, 0.929307632634, 0.0261611098424
0.0543730543457, 0, 250, -14.319119084, -15.358328793, 0.932335755862, 0.0243942489043
0.0516811743828, 0, 250, -15.8584674021, -16.956510138, 0.935243589217, 0.0227444862994
0.0491225629628, 0, 250, -17.5630724444, -18.72325331, 0.938035295125, 0.0212042319299
0.046690622279, 0, 250, -19.4506522376, -20.6764573815, 0.940714933835, 0.0197663753618
0.0443790811657, 0, 250, -21.5408221617, -22.835928444, 0.94328646258, 0.0184242561777
0.0421819789282, 0, 250, -23.8552979431, -25.2235831211, 0.945753734851, 0.0171716358762
0.0400936499711, 0, 250, -26.4181203421, -27.8636738179, 0.948120499644, 0.0160026710862
0.0381087091893, 0, 263, -29.2559042547, -30.7830380285, 0.950390413955, 0.0149119013351
0.0362220380814, 0, 277, -32.3981133654, -34.0113742725, 0.952567017899, 0.0138942006523
0.0344287715508, 0, 291, -35.8773654253, -37.5815475062, 0.954653754463, 0.012944774977
0.0327242853599, 0, 306, -39.7297695584, -41.5299271573, 0.956653966859, 0.0120591382689
0.0311041842064, 0, 322, -43.9952996545, -45.8967612681, 0.958570897791, 0.0112330915896
0.0295642903888, 0, 339, -48.7182077745, -50.7265906082, 0.960407691319, 0.0104627057713
0.0281006330336, 0, 356, -53.9474817104, -56.068707025, 0.962167393771, 0.00974430409471
0.0267094378558, 0, 375, -59.7373516007, -61.9776607612, 0.96385295713, 0.00907444833717
0.0253871174261, 0, 394, -66.1478504175, -68.5138219705, 0.965467237341, 0.00844992060319
0.0241302619204, 0, 415, -73.2454351894, -75.7440022223, 0.967013004864, 0.00786771821159
0.0229356303267, 0, 437, -81.1036718064, -83.7421424102, 0.968492917331, 0.00732501146807
0.021800142088, 0, 459, -89.8039994584, -92.5900741525, 0.969909574869, 0.0068191848385
0.020720869158, 0, 483, -99.4365685057, -102.378362551, 0.971265470828, 0.00634777422593
0.0196950284512, 0, 508, -110.101173969, -113.207238985, 0.972563017671, 0.00590848007822
0.0187199746659, 0, 535, -121.908286616, -125.187633579, 0.973804545468, 0.00549915373052
0.017793193463, 0, 563, -134.980194386, -138.442317988, 0.974992302558, 0.00511778651915
0.0169122949824, 0, 592, -149.452266124, -153.107170283, 0.976128458563, 0.00476250181717
0.0160750076801, 0, 623, -165.474350292, -169.332575009, 0.977215106327, 0.00443154653764
0.0152791724709, 0, 655, -183.212323115, -187.284972827, 0.978254263274, 0.00412328258064
0.0145227371608, 0, 689, -202.849802434, -207.148575753, 0.979247874122, 0.00383618011224
0.0138037511549, 0, 725, -224.590044459, -229.12726569, 0.980197811826, 0.00356880955514
0.0131203604277, 0, 763, -248.65804402, -253.446695817, 0.981105881924, 0.00331983741503
0.0124708027421, 0, 802, -275.302858134, -280.356616547, 0.981973821501, 0.00308801715007
0.0118534031049, 0, 844, -304.800179283, -310.133450051, 0.982803303653, 0.00287218594057
0.0112665694482, 0, 888, -337.455182749, -343.083139849, 0.983595937994, 0.00267125788604
0.0107087885232, 0, 934, -373.605678661, -379.544305004, 0.984353272426, 0.00248421882219
0.0101786219986, 0, 983, -413.625601793, -419.891731311, 0.985076797063, 0.00231012363802
0.00967470275147, 0, 1034, -457.928872723, -464.540235607, 0.98576794349, 0.00214808925629
0.00919573134187, 0, 1088, -506.973673386, -513.948943048, 0.986428088321, 0.00199729222032
0.00874047266196, 0, 1145, -561.267178777, -568.626021496, 0.987058554408, 0.0018569642351
0.00830775275117, 0, 1204, -621.370794551, -629.13392184, 0.98766061244, 0.00172638836651
0.00789645576892, 0, 1267, -687.905955077, -696.095178361, 0.988235483395, 0.0016048963733
0.00750552111721, 0, 1333, -761.560540209, -770.198828992, 0.988784339241, 0.00149186453744
0.00713394070573, 0, 1402, -843.095979175, -852.207521695, 0.989308305444, 0.00138671153566
0.00678075635231, 0, 1475, -933.355113074, -942.965380327, 0.989808462268, 0.00128889534292
0.00644505731207, 0, 1552, -1033.27089793, -1043.40671115, 0.990285846246, 0.00119791051859
0.00612597792896, 0, 1633, -1143.87603823, -1154.56563981, 0.990741451842, 0.00111328589345
0.00582269540346, 0, 1718, -1266.31365016, -1277.58677829, 0.991176232941, 0.00103458227889
0.00553442767093, 0, 1807, -1401.84906469, -1413.73703185, 0.991591104366, 0.000961390389946
0.00526043138484, 0, 1901, -1551.88289219, -1564.41866785, 0.991986943191, 0.00089332875001
0.005, 0, 2000, -1717.9654839, -1731.18378132, 0.992364590313, 0.000830042010359
0.00459390605191, 0, 2177, -2035.51158317, -2049.95082082, 0.992956300462, 0.000734198419466
0.00422079456275, 0, 2370, -2411.72146684, -2427.49253462, 0.993503144682, 0.000649331181457
0.00387798673713, 0, 2579, -2857.42917364, -2874.65290331, 0.994008414147, 0.000574196028341
0.00356302134818, 0, 2807, -3385.46920449, -3404.27725402, 0.994475171049, 0.000507688073095
0.0032736370669, 0, 3055, -4011.0458636, -4031.58168056, 0.994906262954, 0.000448826246563
0.00300775622667, 0, 3325, -4752.17078799, -4774.59065818, 0.995304336686, 0.000396739697427
0.00276346990647, 0, 3619, -5630.18125276, -5654.65544184, 0.995671851392, 0.000350655593822
0.00253902422552, 0, 3939, -6670.35416513, -6697.06816149, 0.996011090866, 0.000309888254485
0.00233280775111, 0, 4287, -7902.63341239, -7931.78928019, 0.996324175193, 0.000273829460373
0.00214333992915, 0, 4666, -9362.49149089, -9394.30934282, 0.996613071727, 0.000241939854921
0.00196926045437, 0, 5079, -11091.9502056, -11126.6698062, 0.996879605373, 0.000213741224297
0.00180931950382, 0, 5527, -13140.7898056, -13178.6723191, 0.997125468137, 0.000188809509697
0.00166236876368, 0, 6016, -15567.9813546, -15609.311239, 0.997352228823, 0.000166769317748
0.0015273531848, 0, 6548, -18443.3834834, -18488.4705999, 0.997561338766, 0.000147285687809
0.00140330340781, 0, 7127, -21849.752613, -21898.93435, 0.9977541493, 0.000130068743426
0.00128932880356, 0, 7756, -25885.1234686, -25938.7676891, 0.99793189017, 0.000114840311976
0.00118461107871, 0, 8442, -30665.6316886, -30724.1380178, 0.998095753599, 0.000101407172261
0.00108839840073, 0, 9188, -36328.8520164, -36392.6566515, 0.998246771714, 8.95285313552e-05
0.001, 0, 10000, -43037.7597919, -43107.3374403, 0.998385944193, 7.90345327843e-05
0.0009, 0, 11112, -53136.1337883, -53213.6185345, 0.998543892554, 6.76738591193e-05
0.0008, 0, 12500, -67254.3755179, -67341.757165, 0.998702415101, 5.68873727845e-05
0.0007, 0, 14286, -87847.6680956, -87947.7921598, 0.998861551135, 4.67143723848e-05
0.0006, 0, 16667, -119577.615345, -119694.754808, 0.999021348403, 3.72026071092e-05
0.0006, 0, 16667, -119577.615345, -119694.754808, 0.999021348403, 3.72026069447e-05
0.0005, 0, 20000, -172202.221394, -172343.221215, 0.999181866164, 2.84113335432e-05
0.0004, 0, 25000, -269082.51339, -269259.367977, 0.999343181305, 2.0417440434e-05
0.00035, 0, 28572, -351465.626569, -351668.127859, 0.999424169343, 1.67509615285e-05
0.0003, 0, 33334, -478398.74288, -478635.471656, 0.999505409044, 1.33361456873e-05
0.00025, 0, 40000, -688915.920487, -689200.627766, 0.999586902177, 1.01747623513e-05
